carrier_service_id_anon,dist_bin,n_group,share_in_bin,r_p002,r_p005,r_p010,r_p020,r_p035,r_p050,r_p065,r_p080,r_p090,r_p095,r_p098
8,3,86063,0.029215106460332693,0.9830972865323253,1.1028035154400688,0.9914173481729386,0.9706645853586056,0.9843740399762188,0.9884991766577023,0.9793205738496077,0.9781079410937183,0.8905350802372634,0.8810048039993996,0.848771509630565
13,3,40892,0.013881274570674094,1.0252540849093514,1.0090185464390709,0.780365852832884,0.8661695566377646,0.7226799375951091,0.7307622032194117,0.7781037932840307,0.7995917087216764,0.7843199415781409,0.7486839661552109,0.7344076280445592
9,3,30705,0.010423176555134209,0.8045346563413582,0.7857554090002826,0.6039253139722772,0.553355927555479,0.5,0.5,0.5,0.5,0.5,0.5,0.5
14,3,11905,0.004041293499067668,1.61227866437136,1.5512051676232042,1.2303967306013939,1.275327531921285,1.030577503126756,0.9881783719507938,0.9868072275509241,0.9459277728673483,0.8858971971659952,0.8863572842455696,0.8314407411200647
11,3,18775,0.0063733965094494305,0.8321219252188341,0.7767177159194502,0.6000920635108393,0.5528888425580407,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5,3,10207,0.003464887252833573,0.8479176710749959,0.8480942990074724,0.6620436969377423,0.6001496096711391,0.5117379107553508,0.625701671834313,0.5564850343116233,0.6242497303077891,0.643435303094965,0.6148846368129134,0.6561016112022346
12,3,636,0.00021589774593927232,0.5,0.5,0.5,0.5,0.5,0.5,0.6964027780325388,1.1584039782223778,1.8521576855332047,2.0,2.0
2,3,177,6.008475004913711e-05,1.3388076507819864,1.2982687831831834,1.1612111179500613,1.1044081732366526,1.007766950239708,0.9741719530660743,0.9769840874798784,0.9848123180093674,0.9757083898319105,0.9523867753751397,0.911540941981354
10,3,793,0.0002691932586947216,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,3,517,0.00017550178404182986,1.2746371237666467,1.2171527553471477,1.0168730774858092,0.9532899215379187,0.8424305724280795,0.8218473863655019,0.8659639779962487,0.8729469410684719,0.7976866941557269,0.737524124600429,0.6693111365679871
4,3,268,9.097577973541663e-05,1.508512604451129,1.4490033807984992,1.254947521368407,1.1729055542111508,1.037994206036811,0.9884908691563423,0.9337184130796068,0.8877169825939393,0.8425198508780585,0.8006405434496471,0.7481027514210343
15,0,654091,0.2220300567863007,1.2213165740172078,1.1243527016088244,1.0858573301555283,1.1203001441116947,1.0369145783781242,1.0320363555222225,1.036305775281177,1.0633207125296904,1.0624335426650457,1.1691221618122611,1.2750698611003275
9,0,234728,0.0796780129513092,1.0294261282152635,0.9406056885558962,0.8913264657738014,0.838217209382934,0.6575491998334482,0.6251615401357027,0.5,0.5,0.5,0.5,0.5
7,0,656025,0.22268654973579044,1.2222092713123884,1.1282632417743435,1.0765563816777644,1.048632797542667,1.0194039198049196,0.9888939393658762,0.9365757841987411,0.8812684557898767,0.9027023532913279,0.9828004124666747,0.902953400999264
6,0,363366,0.12334395919560265,1.4192325532909482,1.2892444164837293,1.4548109364496373,1.3652060505772332,1.0719082416281078,1.026473582504505,0.9845835069012655,1.0435168764256548,1.0167348368954525,0.9663295297739021,0.8977622417885232
11,0,126903,0.043077003500051086,1.0142517834067613,0.93051833596575,0.8828655613233182,0.8351826644241651,0.6559565687448534,0.6259065873426612,0.5,0.5,0.5,0.5,0.5
8,0,181107,0.06147645739567821,1.1818157818695005,1.0742075154083408,1.0314431662732533,1.1092844383388902,0.9810916288939643,0.91253151172041,0.7708240905052306,0.8509574798382982,0.8573613922552124,0.9212579698438376,0.8339139385798471
16,0,106460,0.03613766256601845,1.2723503842487198,1.204376525664622,1.4950834242259248,1.5193349018126625,1.2190164698381791,1.343752505144583,1.08076631769002,1.036519824493202,1.007663052129961,1.0057196311188996,0.9157161543763235
17,0,378385,0.1284421327263093,1.3416516206420446,1.477633281259031,1.597116403163766,1.64148036337014,1.5047207826260385,1.46622172950629,1.288394296771906,1.120166474977386,1.0783591439790865,1.133065755947638,1.046220290431386
12,0,54977,0.018661847406462484,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,0,20236,0.006869075142644648,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5,0,71636,0.024316716095991897,0.9813274598647591,0.8940031197978247,0.8452620088839379,0.7907897547555593,0.6333126210717699,0.6481844284731009,0.6934441775546611,0.6166888610994129,0.6649776058070451,0.7351284587380797,0.6174129013486507
18,0,78012,0.026481038250049136,1.3804303504125617,1.6587406457832095,1.721525328308233,1.6695612218156233,1.5490009067688961,1.5308246073151728,1.3862360321205947,1.290246967747202,1.2165996265292653,1.2860825311737458,1.2012611231886714
13,0,12214,0.004146021140159208,1.2632636056670117,1.1319174667505807,1.1067594960285416,1.338026897638955,1.177094686094229,1.3162983302421163,1.2983022352015443,1.2379853599714619,1.0503573418415886,0.982851605518375,0.8778746986369723
14,0,1406,0.000477264264210238,1.8349323903246786,1.7520528466327603,1.8069667613725835,1.7493014972638885,1.5400201832673983,1.6232404259807585,1.409098472846896,1.2737466015630776,1.1723497374637937,1.1096919755781687,0.9250068916012311
4,0,5792,0.0019660843657935264,0.9830147186071309,0.8895694277048034,0.8373006548613587,0.7745849083403624,0.606418044689693,0.5710348778533951,0.5,0.5,0.6446423799681859,0.6214870517464907,0.615527271828585
1,0,595,0.00020197171920703527,1.4130404322524401,1.3166425032018914,1.276795526351109,1.2548897883354617,1.0857291755056473,1.0565891869373354,1.0719774184865005,1.161655576680604,1.2650336114140244,1.3371117531200418,1.225689694951345
15,2,830286,0.28183990965220374,1.0,0.9808649331164926,0.8110066557755771,0.9758185659319435,0.9599392744343522,0.9981993891301045,1.0355522951180853,1.0958541669275985,1.1195215073185205,1.1290526494765032,1.1865111062740827
8,2,121560,0.04126344346083384,0.9568723503873227,0.932174764964954,0.7517729544710765,0.891828606949297,0.8239891001894162,0.8334577309161806,0.8267310286095956,0.9072779146730442,0.9332519672855892,0.8481774301893381,0.8066471153570589
18,2,168247,0.05711130776534149,1.1563269881398872,1.5222912854658515,1.2289014898667379,1.3207270133938982,1.278839781362069,1.2235165894564377,1.0869122966385194,1.12074162106539,1.1418399192997086,1.1359646617810601,1.1040200316659412
6,2,252364,0.08566475522828128,1.1380249307152144,1.1977628325766714,1.0387590123638972,0.9577165721682511,0.8978677896938346,0.772977499974626,0.8429477365783088,0.9507420192129228,0.9564077515187003,0.9386155733371844,0.9063227914508951
17,2,636960,0.2162155556664423,1.0871294426050757,1.3410687512362918,1.165090279248355,1.1265026727968088,1.2126239711284086,1.0567122632083679,1.022309709587438,0.9755645808422428,0.9972961319976004,0.998143288535274,0.9782702085258201
16,2,211594,0.0718254117773254,1.0389231996604709,1.0428422634404764,1.0720335752582593,1.0543485299529995,0.9850397776574514,0.9637250575229139,0.8437156487798637,0.9040281524845392,0.9384073898097476,0.8658115329580316,0.8353454078578469
7,2,624479,0.21197889033381093,1.0247930456579026,1.0164936615830256,1.0263553326126669,1.01856551283402,1.1463667187548745,1.003300723333809,1.0039225661601858,1.0379161119521447,0.9989184633832648,0.9871578323658081,0.9425865269784219
13,2,33518,0.011377657929583982,1.0084288451035477,1.0163540732662277,0.7951619566181247,0.8869132648344745,0.842118147328106,0.7616854669035317,0.8189754134286023,0.8923737311708984,0.9291948599121356,0.8363214120705765,0.7946171749610194
