dc_id,region_id,carrier_service_id,zip3,allowed_state_count,allowed_states,has_coverage
33,3,6,436,25,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NY|OH|OK|PA|SC|TN|TX|VA|WV,True
33,3,7,436,0,,False
33,3,8,436,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
33,3,9,436,31,AL|AZ|CA|CO|CT|DC|DE|FL|GA|IA|IL|IN|KY|MA|MD|MI|MN|MO|NC|NH|NJ|NV|NY|OH|OK|PA|SC|TN|TX|VA|WI,True
33,3,10,436,5,IL|IN|MI|NY|OH,True
33,3,11,436,21,AL|AZ|CA|FL|GA|IL|MA|ME|MI|MN|MO|NC|NJ|NY|OH|OK|PA|SC|TN|VA|WA,True
33,3,12,436,2,CO|PA,True
33,3,13,436,0,,False
33,3,14,436,0,,False
33,3,15,436,0,,False
33,3,16,436,0,,False
33,3,17,436,0,,False
33,3,18,436,0,,False
34,3,1,537,0,,False
34,3,2,537,0,,False
34,3,3,537,0,,False
34,3,4,537,0,,False
34,3,5,537,22,CA|CO|FL|GA|IL|IN|KS|LA|MI|MN|MO|MS|NH|NJ|NY|OH|PA|TX|UT|VA|WA|WI,True
34,3,6,537,27,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NM|NY|OH|OK|PA|SC|TN|TX|VA|WI|WV,True
34,3,7,537,0,,False
34,3,8,537,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
34,3,9,537,35,AZ|CA|CO|CT|DE|FL|GA|IA|IL|IN|KS|KY|LA|MA|MI|MN|MO|MS|NC|NE|NH|NJ|NV|NY|OH|OK|OR|PA|SC|TN|TX|UT|VA|WA|WI,True
34,3,10,537,7,CT|GA|IL|IN|NJ|NY|WI,True
34,3,11,537,20,AZ|CA|DE|FL|GA|IL|KS|LA|MA|ME|MI|MN|MO|MS|NE|NJ|NY|OH|TN|TX,True
34,3,12,537,4,CO|GA|PA|WI,True
34,3,13,537,0,,False
34,3,14,537,0,,False
34,3,15,537,0,,False
34,3,16,537,0,,False
34,3,17,537,0,,False
34,3,18,537,0,,False
35,3,1,452,0,,False
35,3,2,452,0,,False
35,3,3,452,0,,False
35,3,4,452,3,IL|LA|MI,True
35,3,5,452,26,AL|AZ|CA|CO|FL|GA|IL|IN|LA|MA|MD|MI|MN|MO|MS|NC|NJ|NM|NY|OH|PA|TX|UT|VA|WA|WV,True
35,3,6,452,26,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NY|OH|OK|PA|SC|TN|TX|VA|WI|WV,True
35,3,7,452,0,,False
35,3,8,452,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
